$ 2013 N,orth San,"tiam, ps",t,no continuous usgs wq data 2013,,,,,,,
#,,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,NOx,RDOM,RPOM,ALG-BG,ALG-OTH,DO
11.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.90392639
11.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.91257559
11.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.92122477
11.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.88661869
11.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.85216838
11.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.81787299
11.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.78792726
11.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.79648627
11.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.83486752
11.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.87359373
11.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.87781131
11.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.91655761
11.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.95124246
11.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.99050529
11.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.02551668
11.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.06068686
12,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.13580328
12.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.17146654
12.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.21178406
12.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.28395015
12.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.31575238
12.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.34787094
12.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.43027135
12.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.46727139
12.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.50885418
12.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.55063163
12.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.51326717
12.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.50885418
12.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.43027135
12.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.42131738
12.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.42131738
12.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.42131738
